yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.122297 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001120, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.680260, Class: 0.751367, Obj: 0.040492, No Obj: 0.000127, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.668988, Class: 0.848658, Obj: 0.168104, No Obj: 0.002564, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000423, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000097, .5R: -nan, .75R: -nan,  count: 0
602: 0.476447, 0.718068 avg, 0.013134 rate, 2.671184 seconds, 19264 images
Loaded: 0.000073 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000785, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.717232, Class: 0.985474, Obj: 0.000888, No Obj: 0.000564, .5R: 0.666667, .75R: 0.666667,  count: 3
Region 106 Avg IOU: 0.630334, Class: 0.969688, Obj: 0.000167, No Obj: 0.000118, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.648706, Class: 0.520773, Obj: 0.004800, No Obj: 0.000776, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000361, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.437129, Class: 0.144613, Obj: 0.000388, No Obj: 0.000116, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.531663, Class: 0.411772, Obj: 0.038106, No Obj: 0.000901, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.748174, Class: 0.091581, Obj: 0.000049, No Obj: 0.000242, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.389942, Class: 0.885924, Obj: 0.000680, No Obj: 0.000135, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000301, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000238, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.776187, Class: 0.844525, Obj: 0.000111, No Obj: 0.000073, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 82 Avg IOU: 0.477947, Class: 0.977689, Obj: 0.759120, No Obj: 0.001915, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.578808, Class: 0.842397, Obj: 0.265447, No Obj: 0.001065, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000061, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000842, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.714405, Class: 0.947819, Obj: 0.300591, No Obj: 0.000743, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000094, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000806, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.549768, Class: 0.936759, Obj: 0.343677, No Obj: 0.001005, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.353543, Class: 0.742832, Obj: 0.029325, No Obj: 0.000111, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000773, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000317, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.657671, Class: 0.830494, Obj: 0.156227, No Obj: 0.000257, .5R: 1.000000, .75R: 0.000000,  count: 3
603: 0.597467, 0.706008 avg, 0.013221 rate, 2.672189 seconds, 19296 images
Loaded: 0.000077 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000192, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000125, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.483354, Class: 0.792051, Obj: 0.182219, No Obj: 0.000208, .5R: 0.500000, .75R: 0.000000,  count: 2
