yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.207768 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001620, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.536058, Class: 0.806432, Obj: 0.060909, No Obj: 0.001415, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.299640, Class: 0.675498, Obj: 0.000077, No Obj: 0.000031, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.437885, Class: 0.876827, Obj: 0.475927, No Obj: 0.003991, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000930, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.420969, Class: 0.993515, Obj: 0.576403, No Obj: 0.000273, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001184, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.622016, Class: 0.868717, Obj: 0.012132, No Obj: 0.000819, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000038, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000998, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.400848, Class: 0.983007, Obj: 0.204134, No Obj: 0.001486, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000036, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000777, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000444, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.506062, Class: 0.629668, Obj: 0.000014, No Obj: 0.000045, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.360682, Class: 0.877191, Obj: 0.061784, No Obj: 0.000456, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.606452, Class: 0.862554, Obj: 0.117988, No Obj: 0.002041, .5R: 0.500000, .75R: 0.500000,  count: 2
Region 106 Avg IOU: 0.290882, Class: 0.964191, Obj: 0.000123, No Obj: 0.000043, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000889, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000357, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.358993, Class: 0.671007, Obj: 0.006974, No Obj: 0.000063, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000401, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000322, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.486703, Class: 0.598476, Obj: 0.037675, No Obj: 0.000047, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.326593, Class: 0.321574, Obj: 0.000221, No Obj: 0.000855, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.389984, Class: 0.995030, Obj: 0.468510, No Obj: 0.001016, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.333267, Class: 0.955905, Obj: 0.013321, No Obj: 0.000095, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.555257, Class: 0.876929, Obj: 0.313973, No Obj: 0.002529, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.510410, Class: 0.999400, Obj: 0.926951, No Obj: 0.001240, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.157131, Class: 0.995032, Obj: 0.003013, No Obj: 0.000128, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001131, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.843938, Class: 0.217057, Obj: 0.034998, No Obj: 0.000394, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000048, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000471, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000590, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.455559, Class: 0.989936, Obj: 0.005563, No Obj: 0.000079, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.517680, Class: 0.856771, Obj: 0.111242, No Obj: 0.001633, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.556163, Class: 0.770547, Obj: 0.072103, No Obj: 0.000824, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000046, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000821, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000199, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.209406, Class: 0.978534, Obj: 0.028501, No Obj: 0.000111, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000486, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.469146, Class: 0.941927, Obj: 0.001585, No Obj: 0.000813, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000036, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.640958, Class: 0.727920, Obj: 0.114018, No Obj: 0.002122, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000486, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.527936, Class: 0.316960, Obj: 0.005172, No Obj: 0.000039, .5R: 1.000000, .75R: 0.000000,  count: 1
351: 0.907444, 0.907444 avg, 0.001518 rate, 5.630758 seconds, 22464 images
Loaded: 0.000050 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001054, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000740, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.780483, Class: 0.980623, Obj: 0.071261, No Obj: 0.000064, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000952, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.426477, Class: 0.499353, Obj: 0.233059, No Obj: 0.001042, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.212235, Class: 0.960461, Obj: 0.000363, No Obj: 0.000053, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.793894, Class: 0.683632, Obj: 0.053337, No Obj: 0.001987, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.475663, Class: 0.894040, Obj: 0.010689, No Obj: 0.000851, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.495043, Class: 0.995310, Obj: 0.001955, No Obj: 0.000052, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000168, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000338, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.384904, Class: 0.834381, Obj: 0.007209, No Obj: 0.000038, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.689768, Class: 0.768131, Obj: 0.200334, No Obj: 0.004787, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.522426, Class: 0.984918, Obj: 0.008647, No Obj: 0.000893, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000039, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001243, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.442107, Class: 0.974986, Obj: 0.256284, No Obj: 0.001353, .5R: 0.666667, .75R: 0.000000,  count: 3
