yolo-obj
Learning Rate: 0.01, Momentum: 0.9, Decay: 0.0005
Loaded: 0.219892 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000104, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000099, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.818586, Class: 0.998952, Obj: 0.079344, No Obj: 0.000115, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000075, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000065, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000039, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000339, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.750965, Class: 0.995090, Obj: 0.000470, No Obj: 0.000372, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000065, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000251, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000280, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.727603, Class: 0.997031, Obj: 0.005732, No Obj: 0.000119, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: 0.788257, Class: 0.999152, Obj: 0.605554, No Obj: 0.001343, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.577034, Class: 0.980354, Obj: 0.000874, No Obj: 0.000676, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000028, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000292, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.596658, Class: 0.986782, Obj: 0.014135, No Obj: 0.000452, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.535877, Class: 0.969543, Obj: 0.018662, No Obj: 0.000301, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.681769, Class: 0.980785, Obj: 0.502728, No Obj: 0.001195, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000478, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.388274, Class: 0.994730, Obj: 0.020282, No Obj: 0.000111, .5R: 0.000000, .75R: 0.000000,  count: 1
