yolo-obj
Learning Rate: 0.01, Momentum: 0.9, Decay: 0.0005
Loaded: 0.233292 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001078, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.641208, Class: 0.980135, Obj: 0.005573, No Obj: 0.001085, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000069, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.552164, Class: 0.993540, Obj: 0.092535, No Obj: 0.001392, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.591813, Class: 0.997715, Obj: 0.007535, No Obj: 0.000505, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.513428, Class: 0.029559, Obj: 0.000001, No Obj: 0.000054, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000360, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000310, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000072, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.729469, Class: 0.988843, Obj: 0.493794, No Obj: 0.001240, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.656470, Class: 0.861711, Obj: 0.223182, No Obj: 0.001868, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000040, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000059, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000446, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.485626, Class: 0.996399, Obj: 0.209938, No Obj: 0.000374, .5R: 0.666667, .75R: 0.333333,  count: 3
