yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.123566 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.486543, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514952, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.083357, Class: 0.580920, Obj: 0.125537, No Obj: 0.459018, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.192160, Class: 0.616483, Obj: 0.256961, No Obj: 0.482525, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514229, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.111451, Class: 0.231057, Obj: 0.332819, No Obj: 0.457615, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.482581, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.157000, Class: 0.490655, Obj: 0.437245, No Obj: 0.514770, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.240183, Class: 0.255407, Obj: 0.533857, No Obj: 0.455579, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.486065, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.186420, Class: 0.580921, Obj: 0.893531, No Obj: 0.511888, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.460029, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.487943, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514662, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.059083, Class: 0.054006, Obj: 0.100999, No Obj: 0.457205, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.482411, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.357964, Class: 0.488677, Obj: 0.443634, No Obj: 0.513746, .5R: 0.500000, .75R: 0.000000,  count: 2
