yolo-obj
Learning Rate: 0.0001, Momentum: 0.9, Decay: 0.0005
Loaded: 0.206708 seconds
Region 82 Avg IOU: 0.781467, Class: 0.999969, Obj: 0.982010, No Obj: 0.001817, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.747050, Class: 0.999732, Obj: 0.421464, No Obj: 0.000896, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 106 Avg IOU: 0.468025, Class: 0.997893, Obj: 0.008681, No Obj: 0.000217, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000107, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.895627, Class: 0.999989, Obj: 0.995455, No Obj: 0.000483, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000076, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.705168, Class: 0.997139, Obj: 0.007057, No Obj: 0.000093, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.921027, Class: 0.999842, Obj: 0.818419, No Obj: 0.001058, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.701666, Class: 0.998052, Obj: 0.402944, No Obj: 0.000425, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000136, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.623166, Class: 0.999457, Obj: 0.036691, No Obj: 0.000301, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000037, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.816287, Class: 0.999977, Obj: 0.982478, No Obj: 0.001815, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001093, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.661083, Class: 0.998426, Obj: 0.012470, No Obj: 0.000178, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000289, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000069, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.571285, Class: 0.999867, Obj: 0.406812, No Obj: 0.000147, .5R: 1.000000, .75R: 0.000000,  count: 1
